id,file-name,en,ssp,also,lat,lng,alt,cnt,loc,type,length,bird-seen,rec,file,url,q
42389,BuzzardsBelgradF.mp3,Common Buzzard,,[''],41.1895,28.9842,160,Turkey,"Belgrad Ormanı, İstanbul ",call,0:43,unknown,Stuart Fisher,https://xeno-canto.org/42389/download,//xeno-canto.org/42389,C
29875,LmichahellisElkies07.mp3,Yellow-legged Gull,michahellis,"['Tachymarptis melba', 'Passer domesticus', 'Carduelis carduelis']",41.0248,28.9742,80,Turkey,"Galata, Istanbul ",call,0:34,unknown,Stuart Fisher,https://xeno-canto.org/29875/download,//xeno-canto.org/29875,B
26857,YLGullnotfiltered1.mp3,Yellow-legged Gull,michahellis,['Corvus corone'],41.0248,28.9742,50,Turkey,"Galata, Istanbul ",call,0:50,unknown,Stuart Fisher,https://xeno-canto.org/26857/download,//xeno-canto.org/26857,C
28990,Laughingdove2.mp3,Laughing Dove,,['Turdus merula'],41.0248,28.9742,80,Turkey,"Galata, Istanbul ",song of 2 individuals,0:18,unknown,Stuart Fisher,https://xeno-canto.org/28990/download,//xeno-canto.org/28990,D
26030,Laughingdove.mp3,Laughing Dove,,['Larus michahellis'],41.0248,28.9742,80,Turkey,"Galata, Istanbul ","male, song",0:18,unknown,Stuart Fisher,https://xeno-canto.org/26030/download,//xeno-canto.org/26030,D
594922,XC594922-tawnyowl.mp3,Tawny Owl,,[''],41.0341,29.0277,60,Turkey,"İstanbul, Üsküdar, İstanbul","adult, sex uncertain, song",0:13,yes,Tora BENZEYEN,https://xeno-canto.org/594922/download,//xeno-canto.org/594922,A
591595,XC591595-TawnyOwl-Uskudar.mp3,Tawny Owl,,[''],41.0312,29.0256,60,Turkey,"Fethipaşa Sosyal Tesisleri (near  İstanbul), Üsküdar, İstanbul","adult, call, sex uncertain",1:09,yes,Tora BENZEYEN,https://xeno-canto.org/591595/download,//xeno-canto.org/591595,A
591421,XC591421-unknownsound.mp3,Tawny Owl,,[''],41.0327,29.0261,40,Turkey,"İstanbul, Üsküdar, İstanbul","call, song",0:50,no,Tora BENZEYEN,https://xeno-canto.org/591421/download,//xeno-canto.org/591421,A
676971,XC676971-sesalaca.mp3,Tawny Owl,,[''],41.0285,29.0251,70,Turkey,"İstanbul, Üsküdar, İstanbul","call, life stage uncertain, sex uncertain",0:14,yes,Tora BENZEYEN,https://xeno-canto.org/676971/download,//xeno-canto.org/676971,B
244474,XC244474-kim_baykus_261013_0027.mp3,Tawny Owl,,[''],41.1246,29.0359,20,Turkey,"Istanbul, Darussafaka, Maslak",call,0:12,no,Yeryüzünün Sâkini,https://xeno-canto.org/244474/download,//xeno-canto.org/244474,B
244472,XC244472-kim_baykus_170513_0537.mp3,Tawny Owl,,[''],41.1246,29.0359,20,Turkey,"Istanbul, Darussafaka, Maslak",call,0:05,no,Yeryüzünün Sâkini,https://xeno-canto.org/244472/download,//xeno-canto.org/244472,B
28996,Alpineswiftclose.mp3,Alpine Swift,melba,[''],41.0248,28.9742,80,Turkey,"Galata, Istanbul ",calls of passing bird,0:14,unknown,Stuart Fisher,https://xeno-canto.org/28996/download,//xeno-canto.org/28996,B
20189,Alpineswifts.mp3,Alpine Swift,melba,"['Apus apus', 'Passer domesticus']",41.0248,28.9742,80,Turkey,"Galata, Istanbul",contact calls in flight,0:49,unknown,Stuart Fisher,https://xeno-canto.org/20189/download,//xeno-canto.org/20189,B
19934,Alpswift2.mp3,Alpine Swift,melba,['Larus michahellis'],41.0248,28.9742,80,Turkey,"Galata, Istanbul",call,1:03,unknown,Stuart Fisher,https://xeno-canto.org/19934/download,//xeno-canto.org/19934,B
586892,XC586892-apus_melba.mp3,Alpine Swift,,[''],40.9933,29.0391,10,Turkey,"İstanbul, Kadıköy, İstanbul","adult, sex uncertain, song",0:19,yes,Lider Sinav,https://xeno-canto.org/586892/download,//xeno-canto.org/586892,C
42297,SwiftsIstanbul.mp3,Common Swift,,"['Tachymarptis melba', 'Passer domesticus']",41.0248,28.9742,80,Turkey,"Galata, Istanbul ",Calls of a flock in flight,0:13,unknown,Stuart Fisher,https://xeno-canto.org/42297/download,//xeno-canto.org/42297,C
565929,XC565929-200606_BelgradOrmaniTR34_Dendrocopos medius_KAB.mp3,Middle Spotted Woodpecker,,['Turdus merula'],41.1935,28.9606,90,Turkey,"Belgrad Ormanı, Istanbul","call, life stage uncertain, sex uncertain",0:32,no,Kerem Ali Boyla,https://xeno-canto.org/565929/download,//xeno-canto.org/565929,C
31986,MiddlespotBelfor.mp3,Middle Spotted Woodpecker,anatoliae,"['Fringilla coelebs', 'Cyanistes caeruleus']",41.1895,28.9842,200,Turkey,"Belgrad Ormanı, İstanbul ",call,0:10,unknown,Grant Fisher,https://xeno-canto.org/31986/download,//xeno-canto.org/31986,C
526094,XC526094-200209-006_Dendrocopos minor_LakeTerkosIstanbul.mp3,Lesser Spotted Woodpecker,,[''],41.3808,28.4577,10,Turkey,"Çatalca, İstanbul","adult, male, song",0:06,yes,Kerem Ali Boyla,https://xeno-canto.org/526094/download,//xeno-canto.org/526094,B
26791,Syrian2.mp3,Syrian Woodpecker,,"['Parus major', 'Cyanistes caeruleus']",41.1073,29.0501,75,Turkey,İstanbul - Sarıyer - Emirgan İstinye,contact calls,0:22,unknown,Stuart Fisher,https://xeno-canto.org/26791/download,//xeno-canto.org/26791,C
26757,Syrian.mp3,Syrian Woodpecker,,"['Cyanistes caeruleus', 'Erithacus rubecula']",41.1073,29.0501,80,Turkey,İstanbul - Sarıyer - Emirgan İstinye,contact calls,0:08,unknown,Stuart Fisher,https://xeno-canto.org/26757/download,//xeno-canto.org/26757,C
28403,GreatspotwoodBelgrad.mp3,Great Spotted Woodpecker,pinetorum,[''],41.1895,28.9842,190,Turkey,"Belgrad Ormanı, İstanbul ",alarm call,0:07,unknown,Stuart Fisher,https://xeno-canto.org/28403/download,//xeno-canto.org/28403,B
598500,XC598500-major.mp3,Great Spotted Woodpecker,,[''],41.1348,29.0297,110,Turkey,"Sarıyer, İstanbul","adult, call, male",0:08,yes,Tora BENZEYEN,https://xeno-canto.org/598500/download,//xeno-canto.org/598500,C
526095,XC526095-200209-007_picus canus.mp3,Grey-headed Woodpecker,,[''],41.3808,28.4577,10,Turkey,"Çatalca, İstanbul","adult, call, male, song",0:15,yes,Kerem Ali Boyla,https://xeno-canto.org/526095/download,//xeno-canto.org/526095,B
526093,XC526093-200209b-Terkos Gölü Picus canus bground Tro tro.mp3,Grey-headed Woodpecker,,['Troglodytes troglodytes'],41.3808,28.4577,10,Turkey,"Çatalca, İstanbul","adult, male, song",0:27,yes,Kerem Ali Boyla,https://xeno-canto.org/526093/download,//xeno-canto.org/526093,B
526092,XC526092-200209-Terkos Gölü Picus canus bground Tro tro.mp3,Grey-headed Woodpecker,,['Troglodytes troglodytes'],41.3808,28.4577,10,Turkey,"Çatalca, İstanbul","adult, male, song",0:11,yes,Kerem Ali Boyla,https://xeno-canto.org/526092/download,//xeno-canto.org/526092,B
27075,Greyheaded.mp3,Grey-headed Woodpecker,canus,"['Fringilla coelebs', 'Sitta europaea', 'Parus major', 'Aegithalos caudatus']",41.1895,28.9842,170,Turkey,"Belgrad Ormanı, İstanbul",call,1:35,yes,Stuart Fisher,https://xeno-canto.org/27075/download,//xeno-canto.org/27075,B
651773,XC651773-Yeşil papağan.mp3,Rose-ringed Parakeet,,[''],41.0145,29.0469,70,Turkey,"İstanbul, Üsküdar, İstanbul","adult, call, sex uncertain",0:05,yes,Tora BENZEYEN,https://xeno-canto.org/651773/download,//xeno-canto.org/651773,A
43148,RNPIstinye.mp3,Rose-ringed Parakeet,,[''],41.1073,29.0501,70,Turkey,İstanbul - Sarıyer - Emirgan İstinye,calls of 2 birds,0:09,unknown,Stuart Fisher,https://xeno-canto.org/43148/download,//xeno-canto.org/43148,B
41617,PSittacula_krameri-21dec09-IST-3.mp3,Rose-ringed Parakeet,,[''],41.0128,28.9842,100,Turkey,Istanbul,call,1:30,unknown,Doug Knapp,https://xeno-canto.org/41617/download,//xeno-canto.org/41617,B
651772,XC651772-sarıasmakısa.mp3,Eurasian Golden Oriole,,[''],41.0145,29.0469,70,Turkey,"İstanbul, Üsküdar, İstanbul","adult, male, song",0:02,yes,Tora BENZEYEN,https://xeno-canto.org/651772/download,//xeno-canto.org/651772,A
651771,XC651771-Sarıasma 2.mp3,Eurasian Golden Oriole,,"['Corvus cornix', 'Sylvia atricapilla', 'Streptopelia decaocto']",41.0145,29.0469,70,Turkey,"İstanbul, Üsküdar, İstanbul","male, song",1:14,yes,Tora BENZEYEN,https://xeno-canto.org/651771/download,//xeno-canto.org/651771,B
43571,JayBelgrad2.mp3,Eurasian Jay,anatoliae,['Turdus merula'],41.1895,28.9842,170,Turkey,"Belgrad Ormanı, İstanbul ",alarm call,0:06,unknown,Stuart Fisher,https://xeno-canto.org/43571/download,//xeno-canto.org/43571,A
27006,Jay2.mp3,Eurasian Jay,anatoliae,"['Certhia brachydactyla', 'Parus major', 'Troglodytes troglodytes']",41.1895,28.9842,175,Turkey,"Belgrad Ormanı, İstanbul",call,0:44,unknown,Stuart Fisher,https://xeno-canto.org/27006/download,//xeno-canto.org/27006,B
480905,XC480905-190612-001_gargla.mp3,Eurasian Jay,atricapillus,"['Parus major', 'Certhia brachydactyla', 'Fringilla coelebs', 'Coccothraustes coccothraustes', 'Erithacus rubecula', 'Corvus cornix']",,,90,Turkey,"Belgrad Ormanı, Istanbul",unknown social interaction call,0:32,yes,Kerem Ali Boyla,https://xeno-canto.org/480905/download,//xeno-canto.org/480905,C
599718,XC599718-picapica.mp3,Eurasian Magpie,,[''],41.0285,29.0267,60,Turkey,"İstanbul, Üsküdar, İstanbul","adult, call, sex uncertain",0:35,yes,Tora BENZEYEN,https://xeno-canto.org/599718/download,//xeno-canto.org/599718,B
598499,XC598499-küçükarga.mp3,Western Jackdaw,,[''],41.0285,29.0265,60,Turkey,"İstanbul, Üsküdar, İstanbul","adult, call, sex uncertain",0:12,yes,Tora BENZEYEN,https://xeno-canto.org/598499/download,//xeno-canto.org/598499,B
29022,JackdawIstinye.mp3,Western Jackdaw,soemmerringii,[''],41.1073,29.0501,10,Turkey,İstanbul - Sarıyer - Emirgan İstinye ,call,0:40,unknown,Stuart Fisher,https://xeno-canto.org/29022/download,//xeno-canto.org/29022,B
604697,XC604697-mystry.mp3,Hooded Crow,,[''],41.0332,29.0271,60,Turkey,"Paşalimanı (near  İstanbul), Üsküdar, İstanbul","call, life stage uncertain, sex uncertain",0:06,no,Tora BENZEYEN,https://xeno-canto.org/604697/download,//xeno-canto.org/604697,A
144442,XC144442-corvus cornix 20130708 büyükada.mp3,Hooded Crow,,"['Carduelis carduelis', 'Larus michahellis', 'Sylvia melanocephala']",40.8604,29.1224,120,Turkey,"İstanbul, Büyükada",song,0:11,yes,Kerem Ali Boyla,https://xeno-canto.org/144442/download,//xeno-canto.org/144442,B
26794,Hoody2.mp3,Hooded Crow,sharpii,"['Psittacula krameri', 'Fringilla coelebs']",41.1073,29.0501,75,Turkey,İstanbul - Sarıyer - Emirgan İstinye,call,0:40,unknown,Stuart Fisher,https://xeno-canto.org/26794/download,//xeno-canto.org/26794,B
26034,Hoodedcrow.mp3,Hooded Crow,sharpii,['Passer domesticus'],41.0248,28.9742,80,Turkey,"Galata, Istanbul ",calls of two birds,0:19,unknown,Stuart Fisher,https://xeno-canto.org/26034/download,//xeno-canto.org/26034,C
244691,XC244691-x_kuzgun_080913_01.mp3,Northern Raven,,[''],41.1246,29.0359,120,Turkey,"Istanbul, Darussafaka, Maslak",flight call,0:05,yes,Yeryüzünün Sâkini,https://xeno-canto.org/244691/download,//xeno-canto.org/244691,B
503718,XC503718-raven (online-audio-converter.com).mp3,Northern Raven,,[''],41.1246,29.0359,70,Turkey,"Istanbul, Darussafaka, Maslak",flight call,0:15,yes,Yeryüzünün Sâkini,https://xeno-canto.org/503718/download,//xeno-canto.org/503718,C
43570,CoalTitBelgrads.mp3,Coal Tit,ater,"['Troglodytes troglodytes', 'Turdus merula']",41.1895,28.9842,220,Turkey,"Belgrad Ormanı, İstanbul ",call,0:19,unknown,Stuart Fisher,https://xeno-canto.org/43570/download,//xeno-canto.org/43570,B
27007,Marsh tit.mp3,Marsh Tit,stagnatilis,['Troglodytes troglodytes'],41.1895,28.9842,240,Turkey,"Belgrad Ormanı, İstanbul",call,0:32,unknown,Stuart Fisher,https://xeno-canto.org/27007/download,//xeno-canto.org/27007,B
43569,MarshTitBelgrad2.mp3,Marsh Tit,stagnatilis,"['Parus major', 'Poecile palustris']",41.1895,28.9842,180,Turkey,"Belgrad Ormanı, İstanbul ",call,0:10,unknown,Stuart Fisher,https://xeno-canto.org/43569/download,//xeno-canto.org/43569,C
244477,XC244477-btit_230114_01.mp3,Eurasian Blue Tit,,"['Corvus cornix', 'Parus major']",41.1246,29.0359,20,Turkey,"Istanbul, Darussafaka, Maslak",song,0:36,no,Yeryüzünün Sâkini,https://xeno-canto.org/244477/download,//xeno-canto.org/244477,C
42312,Great Tit Belgrad.mp3,Great Tit,,"['Periparus ater', 'Poecile palustris']",41.1895,28.9842,?,Turkey,"Belgrad Ormanı, İstanbul  ",call,0:23,unknown,Stuart Fisher,https://xeno-canto.org/42312/download,//xeno-canto.org/42312,B
43572,GreatTitBelgFor.mp3,Great Tit,,"['Troglodytes troglodytes', 'Fringilla coelebs', 'Phylloscopus collybita']",41.1895,28.9842,170,Turkey,"Belgrad Ormanı, İstanbul ",Slightly odd song,0:25,unknown,Grant Fisher,https://xeno-canto.org/43572/download,//xeno-canto.org/43572,C
28400,GreatTitunusual.mp3,Great Tit,major?,[''],41.1895,28.9842,?,Turkey,"Belgrad Ormanı, İstanbul ",song variation,0:25,unknown,Stuart Fisher,https://xeno-canto.org/28400/download,//xeno-canto.org/28400,D
27426,longtailedtitbelgrad.mp3,Long-tailed Tit,tephronotus,[''],41.1895,28.9842,200,Turkey,"Belgrad Ormanı, İstanbul",call,0:29,unknown,Stuart Fisher,https://xeno-canto.org/27426/download,//xeno-canto.org/27426,B
696778,XC696778-Yldiz_Park_Istanbul_03gen2022 - Phylloscopus collybita brevirostris 2.mp3,Common Chiffchaff,brevirostris,[''],41.0488,29.0159,30,Turkey,"İstanbul, Beşiktaş, İstanbul",call,0:09,yes,TOMMASO RENZULLI,https://xeno-canto.org/696778/download,//xeno-canto.org/696778,A
696777,XC696777-Yldiz_Park_Istanbul_03gen2022 - Phylloscopus collybita brevirostris 1.mp3,Common Chiffchaff,brevirostris,[''],41.0488,29.0159,30,Turkey,"İstanbul, Beşiktaş, İstanbul",call,0:35,yes,TOMMASO RENZULLI,https://xeno-canto.org/696777/download,//xeno-canto.org/696777,A
696728,"XC696728-3 gen, 13.00_ lui piccoli brevirostris_2 Yildiz Park.mp3",Common Chiffchaff,brevirostris,[''],41.0488,29.0159,30,Turkey,"İstanbul, Beşiktaş, İstanbul",call,0:16,yes,TOMMASO RENZULLI,https://xeno-canto.org/696728/download,//xeno-canto.org/696728,A
142271,XC142271-Chiffchaff Phylloscopus collybita brevirostris.mp3,Common Chiffchaff,brevirostris,[''],41.1815,28.9803,160,Turkey,"Sarıyer, Istanbul","call, song",1:33,yes,Manuel Sanchez,https://xeno-canto.org/142271/download,//xeno-canto.org/142271,A
